id,manufacturer,model,icao24,callsign,origin_country,altitude_m,velocity_ms,estimated_fuel_burn_kg_h,estimated_co2_kg_h,captured_at,loaded_at
253,Boeing,777 3B5ER,71c009,KAL926,Republic of Korea,9829.8,286.34,7500,23700,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
254,Boeing,Boeing 737-8K5,44d1c2,JAF5PC,Belgium,7589.52,202.66,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
255,Airbus,AIRBUS A320-214,406fdb,EZY26NB,United Kingdom,11582.4,197.19,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
256,Airbus,AIRBUS A320-214,406fda,EZY82ZY,United Kingdom,10972.8,211.96,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
257,Airbus,AIRBUS A320-214,406fd8,EZY84WG,United Kingdom,11285.22,233.22,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
258,Boeing,737 MAX 8,49d2ee,TVS2B2,Czech Republic,3360.42,172.73,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
259,Boeing,777-F,06a30d,QTR8166,Qatar,10363.2,210.78,7500,23700,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
260,Boeing,Boeing 787-8,040087,ETH715,Ethiopia,11277.6,248.81,5500,17380,2026-08-17 20:20:36,2026-08-17 20:37:37.750911
261,Boeing,737NG 8K2/W,48520b,TRA90G,Kingdom of the Netherlands,11582.4,225,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
262,Boeing,737NG 8K2/W,48520a,TRA24B,Kingdom of the Netherlands,11582.4,207.46,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
263,Boeing,737NG 8K2/W,48520c,TRA6842,Kingdom of the Netherlands,3482.34,163.81,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
264,Boeing,737NG 8JP/W,479ee7,NSZ5HA,Norway,3954.78,172.85,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
265,Boeing,737NG 800/W,4b8df2,CAI9112,Turkey,10972.8,224.11,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
266,Boeing,Boeing 737 MAX 8,49d423,TVS2007,Czech Republic,11277.6,247.48,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
267,Boeing,777FHT,ab8f36,FDX6174,United States,9753.6,239.07,7500,23700,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
268,Airbus,AIRBUS A319-111,405d0f,EZY72AB,United Kingdom,10370.82,213.48,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
269,Airbus,AIRBUS A319-111,405d11,EZY81YX,United Kingdom,7315.2,181.13,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
270,Boeing,737NG 8F2/W,4ba8f5,TKJ4EP,Turkey,10972.8,224.71,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
271,Airbus,AIRBUS A320-214,406d92,EZY37XD,United Kingdom,11590.02,201.19,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
272,Airbus,AIRBUS A320-214,406d95,EZY63JT,United Kingdom,10972.8,202.92,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
273,Airbus,A320-214,4ca2c9,EIN65T,Ireland,76.2,5.66,2500,7900,2026-08-17 20:37:24,2026-08-17 20:37:37.750911
274,Boeing,BOEING 737-8AS,4ca2c0,RYR5309,Ireland,10972.8,201.86,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
