id,manufacturer,model,icao24,callsign,origin_country,altitude_m,velocity_ms,estimated_fuel_burn_kg_h,estimated_co2_kg_h,captured_at,loaded_at
383,Airbus,A320 214,3444d1,VLG1887,Spain,11590.02,230.55,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
384,Airbus,A320 214SL,3444c9,VLG2621,Spain,3108.96,152.98,2500,7900,2026-08-17 20:36:09,2026-08-17 20:37:37.750911
385,Airbus,A320 214,342091,IBE06KT,Spain,4640.58,177.2,2500,7900,2026-08-17 20:36:32,2026-08-17 20:37:37.750911
386,Airbus,A320 251NSL,4bb846,PGT6AK,Turkey,10972.8,218.93,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
387,Airbus,A320 251NSL,4bb843,PGT445V,Turkey,10965.18,228.09,2500,7900,2026-08-17 20:37:18,2026-08-17 20:37:37.750911
388,Boeing,777-FDZ,06a1ed,QTR30G,Qatar,10058.4,260.55,7500,23700,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
389,Boeing,Boeing 777-F,06a1ea,QTR8175,Qatar,10668,249.69,7500,23700,2026-08-17 20:37:25,2026-08-17 20:37:37.750911
390,Airbus,A321 231SL,34469a,VLG6SG,Spain,8961.12,238.22,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
391,Airbus,A320 232SL,344697,VLG719E,Spain,2179.32,136.76,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
392,Airbus,A320 232SL,344646,VLG7AQ,Spain,9601.2,222.73,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
393,Airbus,A320 214SL,344648,IBE0702,Spain,609.6,73.37,2500,7900,2026-08-17 20:36:49,2026-08-17 20:37:37.750911
394,Boeing,737NG 8JP/W,47a097,NOZ1487,Norway,11277.6,209.68,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
395,Boeing,BOEING 737-8K5,406a62,EXS4RM,United Kingdom,10972.8,212.38,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
396,Boeing,BOEING 737-86N,406a59,EXS98PU,United Kingdom,10972.8,222.24,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
397,Boeing,Boeing 777-FDZ,06a140,QTR8140,Qatar,10668,304.39,7500,23700,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
398,Boeing,BOEING 787-8 Dreamliner,406a9d,BAW257,United Kingdom,11879.58,266.78,5500,17380,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
399,Boeing,B737-800,48c22e,RYS7243,Poland,922.02,101.5,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
400,Airbus,AIRBUS A320-214,406a92,EZY53ZG,United Kingdom,10972.8,224.8,2500,7900,2026-08-17 20:37:17,2026-08-17 20:37:37.750911
401,Boeing,737-8AS,48c229,RYR7FV,Poland,10972.8,203.11,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
402,Boeing,737-800WL,48c225,RYR4YD,Poland,8915.4,233.91,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
403,Boeing,737-8AS(WL),48c222,RYR58JX,Poland,11277.6,238.85,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
404,Airbus,AIRBUS A320-232,406a02,BAW778F,United Kingdom,11285.22,243.23,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
405,Airbus,Airbus A350 941,06a105,QTR36G,Qatar,22.86,87.61,5700,18012,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
406,Boeing,787 8,06a0af,QTR99L,Qatar,11582.4,231.94,5500,17380,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
407,Airbus,A320 214,440549,AUA73,Austria,7772.4,225.63,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
408,Boeing,777 FDZ,06a0de,QTR8242,Qatar,10668,253.86,7500,23700,2026-08-17 20:37:25,2026-08-17 20:37:37.750911
409,Airbus,A320 214,342105,IBS17FT,Spain,1714.5,126.25,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
410,Boeing,777 3D7ER,885176,THA923,Thailand,10058.4,262.45,7500,23700,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
411,Airbus,A330 243,7808e6,CES290,China,,0,5000,15800,2026-08-17 20:37:25,2026-08-17 20:37:37.750911
412,Airbus,A320-271N,4b1812,SWR4KB,Switzerland,3032.76,138.7,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
413,Airbus,A320 251NSL,4952ca,TAP556,Portugal,11148.06,235.13,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
414,Airbus,A320 251N ,4952c1,TAP56UG,Portugal,9334.5,236.02,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
415,Airbus,A320 251N ,4952c2,TAP442,Portugal,10363.2,241.61,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
416,Airbus,A320-251N,4952c6,TAP944,Portugal,9753.6,231.37,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
417,Airbus,A320-216 (W),440db0,EJU94YN,Austria,9448.8,189.24,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
418,Airbus,A321 231,3c6667,DLH3EY,Germany,7315.2,180.57,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
419,Airbus,A321 231,3c6666,DLH1456,Germany,10683.24,240.56,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
420,Airbus,A321 131,3c664e,DLH67K,Germany,10668,246.11,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
421,Airbus,A321 231,3c6664,DLH1JF,Germany,8244.84,204.52,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
422,Airbus,A321 231,3c6662,DLH206,Germany,,9.26,2700,8532,2026-08-17 20:37:25,2026-08-17 20:37:37.750911
423,Airbus,A321 231,3c6677,DLH1835,Germany,9144,238.51,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
424,Airbus,A321 231,3c666e,DLH64P,Germany,10668,235.24,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
425,Airbus,A321 231,3c666c,DLH048,Germany,6111.24,195.15,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
426,Airbus,A321 231,3c666b,DLH05U,Germany,3558.54,179.81,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
427,Airbus,A321 231,3c6676,DLH4T,Germany,6187.44,206.77,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
428,Airbus,A320 271NSL,3c65c1,DLH34J,Germany,7620,225.21,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
429,Airbus,A320-271N,3c65d4,DLH5AE,Germany,205.74,69.04,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
430,Airbus,A320-271N,3c65d2,DLH9HX,Germany,10972.8,201.09,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
431,Airbus,Airbus A320 271NSL,3c65c7,DLH866,Germany,9639.3,211.8,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
432,Airbus,A320 271NSL,3c65c6,DLH338,Germany,2148.84,115.33,2500,7900,2026-08-17 20:35:54,2026-08-17 20:37:37.750911
433,Airbus,A320 271NSL,3c65c5,DLH8AH,Germany,5082.54,197.53,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
434,Airbus,Airbus A320 271NSL,3c65c9,DLH2RV,Germany,,0,2500,7900,2026-08-17 20:36:35,2026-08-17 20:37:37.750911
435,Airbus,A320 271NSL,3c65c8,DLH586,Germany,10668,261.75,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
436,Airbus,A320-271N,3c65cc,DLH2FN,Germany,4404.36,194.54,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
437,Airbus,A320-271N,3c65ca,DLH8LP,Germany,11582.4,189.39,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
438,Airbus,A320 214,3c6745,DLH7YA,Germany,2026.92,118.59,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
439,Airbus,A320 214,3c6744,DLH4KW,Germany,10972.8,188.18,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
440,Airbus,A320 214,3c6743,DLH7CE,Germany,7254.24,192.29,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
441,Airbus,A320 214,3c6748,DLH6TJ,Germany,11582.4,262.3,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
442,Airbus,A320 214,3c6747,DLH9HC,Germany,6149.34,229.54,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
443,Airbus,A320 214SL,3c6757,DLH19E,Germany,4953,186.12,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
444,Airbus,Airbus A320 214,3c674a,DLH2HY,Germany,,0,2500,7900,2026-08-17 20:36:20,2026-08-17 20:37:37.750911
445,Airbus,A320 214SL,3c6753,DLH8HX,Germany,571.5,99.25,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
446,Airbus,Airbus A320 214SL,3c675a,DLH09P,Germany,8534.4,178.57,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
447,Airbus,A320 214,3c674f,DLH9KY,Germany,6918.96,217.61,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
448,Airbus,A350 941,3c6705,DLH732,Germany,11277.6,273.9,5700,18012,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
449,Boeing,747-8F,a82aa0,UPS214,United States,9761.22,232.37,10000,31600,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
450,Airbus,AIRBUS A319-131,4008ad,BAW499,United Kingdom,10363.2,222.82,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
451,Airbus,AIRBUS A319-131,4008b2,BAW784,United Kingdom,11277.6,234.28,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
452,Airbus,A320 214,4951ce,TAP827V,Portugal,11277.6,250.72,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
453,Airbus,A319 114,3c6589,DLH8YJ,Germany,,6.43,2300,7268,2026-08-17 20:37:25,2026-08-17 20:37:37.750911
454,Airbus,Airbus A319 114,3c6581,DLH2ME,Germany,10058.4,203.95,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
455,Airbus,A319 114,3c6588,,Germany,,0.51,2300,7268,2026-08-17 20:33:06,2026-08-17 20:37:37.750911
456,Airbus,A319 114,3c6586,DLH1556,Germany,4762.5,217.11,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
457,Airbus,A319 114,3c6585,DLH9WA,Germany,7246.62,198.08,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
458,Airbus,A319 114,3c658d,DLH1CJ,Germany,,55.8,2300,7268,2026-08-17 20:35:26,2026-08-17 20:37:37.750911
459,Airbus,A319 114,3c658b,DLH9MC,Germany,1661.16,123.81,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
460,Airbus,A319 114,3c658e,DLH5MR,Germany,350.52,67.26,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
461,Airbus,A320 214,02a1a2,LBT594,Tunisia,9144,209.67,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
462,Airbus,A320 214,02a1a7,LBT7431,Tunisia,11269.98,249.06,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
463,Airbus,Airbus A320 232,4690e9,AEE503,Greece,,7.2,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
464,Airbus,A320-271N,3c6545,DLH4PH,Germany,5996.94,180.19,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
465,Airbus,A320-271N,3c6543,LHX948,Germany,11475.72,208.76,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
466,Airbus,A320 232SL,4690f9,AEE4555,Greece,10972.8,211.73,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
467,Airbus,Airbus A330-343X,3c6569,OCN136,Germany,11887.2,255.54,5000,15800,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
468,Airbus,A330 343X,3c6561,OCN132W,Germany,8183.88,266.18,5000,15800,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
469,Boeing,737NG 8D6/W,0a004b,DAH2063,Algeria,3901.44,198.47,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
470,Airbus,A321-271NX,3c64a2,DLH1330,Germany,7802.88,262.83,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
471,Airbus,A321-271NX,3c64a6,DLH05H,Germany,2438.4,131.26,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
472,Airbus,A321-271NX,3c64a5,DLH41U,Germany,8503.92,210.75,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
473,Boeing,737NG 8D6/W,0a001b,DAH2014,Algeria,7429.5,228.03,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
474,Boeing,737NG 8D6/W,0a001a,DAH1083,Algeria,10066.02,248.57,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
475,Boeing,737NG 8D6/W,0a008a,DAH1217,Algeria,9448.8,260.34,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
476,Boeing,737NG 8D6/W,0a008b,DAH1115,Algeria,11262.36,251.8,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
477,Boeing,737NG 800/W,0a0091,DAH1025,Algeria,1043.94,196.53,2400,7584,2026-08-17 20:32:51,2026-08-17 20:37:37.750911
478,Boeing,737NG 8D6/W,0a0074,DAH1085,Algeria,8900.16,241.56,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
479,Airbus,A330 202,0a0087,DAH384,Algeria,11887.2,274.96,5000,15800,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
480,Airbus,A320 216,39e4ac,AFR1455,France,,205.18,2500,7900,2026-08-17 20:34:54,2026-08-17 20:37:37.750911
481,Boeing,737-800,4a08ec,ROT364Q,Romania,11277.6,245.35,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
482,Airbus,A320 211,3c6637,DLH5EL,Germany,,0.26,2500,7900,2026-08-17 20:36:47,2026-08-17 20:37:37.750911
483,Airbus,A320-214,4b15ef,EDW399L,Switzerland,11582.4,204.82,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
484,Airbus,A321 131,3c664c,DLH6VP,Germany,2979.42,145.12,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
485,Airbus,A321 131,3c6653,DLH24Y,Germany,,9.77,2700,8532,2026-08-17 20:37:15,2026-08-17 20:37:37.750911
486,Airbus,AIRBUS A320-232,4009da,BAW858V,United Kingdom,11277.6,260.15,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
487,Airbus,AIRBUS A320-232,4009d9,BAW764,United Kingdom,3497.58,177.33,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
488,Airbus,A320 212,3c6467,CFG9LD,Germany,,5.92,2500,7900,2026-08-17 20:36:24,2026-08-17 20:37:37.750911
489,Airbus,A320 251NSL,4a91fa,SAS7744,Sweden,11582.4,225.25,2500,7900,2026-08-17 20:37:24,2026-08-17 20:37:37.750911
490,Airbus,A321 231,3c6481,DLH4ER,Germany,8229.6,237.26,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
491,Airbus,A321 231,3c6485,DLH982,Germany,10363.2,205.27,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
492,Airbus,A321 231,3c6484,DLH02P,Germany,10668,231.92,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
493,Airbus,A321 231,3c6483,DLH1560,Germany,10675.62,253.54,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
494,Airbus,Airbus A321 231,3c6488,DLH48F,Germany,10668,240.05,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
495,Airbus,A321 231,3c6487,DLH2KK,Germany,,2.83,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
496,Airbus,A321 231,3c6486,DLH7KJ,Germany,,0,2700,8532,2026-08-17 20:32:43,2026-08-17 20:37:37.750911
497,Airbus,A321 231,3c648b,DLH1RH,Germany,5257.8,174.69,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
498,Airbus,Airbus A321 231,3c648f,EWG29H,Germany,9753.6,248.99,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
499,Airbus,A321 231,3c6497,,Germany,,4.89,2700,8532,2026-08-17 20:35:49,2026-08-17 20:37:37.750911
500,Airbus,A321 211SL,3c6426,CFG5LT,Germany,1402.08,88.69,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
501,Airbus,A321 211SL,3c6424,CFG1KA,Germany,883.92,79.6,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
502,Airbus,A320-214,4b1619,SWR2120,Switzerland,11887.2,228.91,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
503,Airbus,A321 111,440c8e,AUA57U,Austria,,0,2700,8532,2026-08-17 20:37:14,2026-08-17 20:37:37.750911
504,Airbus,A321 111,440c8c,AUA346,Austria,11277.6,285.93,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
505,Airbus,A319 112,3c6449,DLH55U,Germany,8054.34,260.53,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
506,Airbus,A319 112,3c6447,DLH4HW,Germany,5486.4,165.63,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
507,Airbus,A319 112,3c6446,DLH3NM,Germany,10675.62,250.46,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
508,Airbus,A320-214,4b161f,EDW195,Switzerland,10363.2,207.16,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
509,Airbus,A319 112,3c6444,DLH6CX,Germany,10058.4,206.68,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
510,Airbus,A320-214,4b161e,EDW69A,Switzerland,434.34,68.34,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
511,Airbus,A320-214,4b1620,EDW223X,Switzerland,9753.6,250.09,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
512,Boeing, 747-87UF,440c5a,ABB863,Austria,1638.3,138.66,10000,31600,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
513,Airbus,A320 214,495170,RZO152,Portugal,2506.98,137.42,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
514,Airbus,A320 214,495171,RZO134,Portugal,1363.98,123.5,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
515,Airbus,A321-111,4b1691,SWR5TV,Switzerland,1463.04,94.76,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
516,Airbus,A321 251N,49514d,TAP1369,Portugal,11285.22,238.45,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
517,Airbus,A321-111,4b168f,SWR9LC,Switzerland,7978.14,226.94,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
518,Boeing,737NG 8BK/W,484442,KLM95U,Kingdom of the Netherlands,11887.2,207.66,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
519,Airbus,A320 214,3991e4,AFR36FH,France,7589.52,218.88,2500,7900,2026-08-17 20:36:32,2026-08-17 20:37:37.750911
520,Airbus,A320 214,3991e3,AFR45RG,France,10980.42,211.27,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
521,Airbus,A320 214,3991e0,AFR35BM,France,2118.36,141.37,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
522,Airbus,A320 214SL,3991e8,AFR7422,France,,8.23,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
523,Airbus,A320 214SL,3991e7,AFR18DQ,France,190.5,66.95,2500,7900,2026-08-17 20:36:52,2026-08-17 20:37:37.750911
524,Boeing,BOEING 737-36Q,4006ee,EXS76SP,United Kingdom,10073.64,228.63,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
525,Boeing,BOEING 737-36N,4006eb,EXS26W,United Kingdom,10363.2,213.69,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
526,Airbus,A350 941,060030,MAU17,Mauritius,9997.44,279.5,5700,18012,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
527,Airbus,A320 214SL,4951d3,TAP5AS,Portugal,11277.6,264.33,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
528,Airbus,A320 214SL,4951d4,TAP934,Portugal,5692.14,195.07,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
529,Airbus,A320 214,4951d2,TAP838Z,Portugal,10553.7,216.41,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
530,Airbus,AIRBUS A320-232,40097f,BAW375,United Kingdom,10972.8,212.49,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
531,Airbus,AIRBUS A320-232,40097e,BAW719,United Kingdom,10972.8,203.28,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
532,Airbus,AIRBUS A320-232,400981,SHT2B,United Kingdom,,3.09,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
533,Airbus,AIRBUS A320-232,400980,BAW878,United Kingdom,11277.6,244.85,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
534,Boeing,737NG 8K5/W,3c0caa,TUI1HV,Germany,10363.2,230.51,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
535,Airbus,A320 214,392ae6,AFR42WM,France,10363.2,215.98,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
536,Airbus,A320 214,392ae8,AFR13DT,France,,5.4,2500,7900,2026-08-17 20:33:06,2026-08-17 20:37:37.750911
537,Airbus,A320 214,392ae9,AFR64UF,France,,7.2,2500,7900,2026-08-17 20:33:56,2026-08-17 20:37:37.750911
538,Airbus,A320 214,392af0,AFR7419,France,1257.3,104.9,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
539,Airbus,A320 214,392af4,AFR1099,France,10972.8,217.07,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
540,Airbus,A320 214,392af2,AFR37HA,France,8839.2,229.74,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
541,Airbus,A320 214,392af8,AFR64PQ,France,11277.6,229.35,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
542,Airbus,A320 214,392af5,AFR1776,France,10668,237.85,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
543,Airbus,A320 214,392aef,AFR53MJ,France,9144,247.43,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
544,Airbus,AIRBUS A320-232,400960,SHT6A,United Kingdom,91.44,68.78,2500,7900,2026-08-17 20:33:25,2026-08-17 20:37:37.750911
545,Boeing,777 240ER,760918,PIA702,Pakistan,11277.6,267.04,7500,23700,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
546,Boeing,BOEING 777-236,4007f3,BAW63,United Kingdom,11277.6,259.59,7500,23700,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
547,Airbus,A330 343E,78103a,CCA750,China,10668,253.41,5000,15800,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
548,Boeing,737NG 8F2/W,4baac5,THY1GS,Turkey,3276.6,146.58,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
549,Boeing,737NG 8F2/W,4baad3,THY2RE,Turkey,1546.86,103.4,2400,7584,2026-08-17 20:37:18,2026-08-17 20:37:37.750911
550,Boeing,737NG 7K2/W,48455d,KLM82D,Kingdom of the Netherlands,10972.8,221.52,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
551,Boeing,737NG 8K2/W,484555,KLM26Y,Kingdom of the Netherlands,,7.46,2400,7584,2026-08-17 20:37:24,2026-08-17 20:37:37.750911
552,Boeing,737NG 8K2/W,484557,KLM85P,Kingdom of the Netherlands,10713.72,273.25,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
553,Boeing,BOEING 737-8AS,4ca80f,RYR54JB,Ireland,11582.4,209.15,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
554,Boeing,BOEING 737-8AS,4ca9c1,RYR29TL,Ireland,11277.6,233.2,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
555,Boeing,BOEING 737-8AS,4ca9c2,RYR2WR,Ireland,11277.6,248.51,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
556,Boeing,737NG 8K2/W,484506,TRA072,Kingdom of the Netherlands,,5.66,2400,7584,2026-08-17 20:35:52,2026-08-17 20:37:37.750911
557,Boeing,BOEING 737-8AS,4ca9d2,RYR8PZ,Ireland,11277.6,197.86,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
558,Boeing,BOEING 737-8AS,4ca9d4,RYR866X,Ireland,10972.8,231.85,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
559,Boeing,BOEING 737-8AS,4ca9d0,RYR3FK,Ireland,10972.8,199.64,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
560,Airbus,A319-111,4ca9bd,ITY4LI,Ireland,11894.82,230.49,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
561,Boeing,BOEING 737-8AS,4ca9eb,RYR1FE,Ireland,3032.76,141.98,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
562,Boeing,BOEING 737-8AS,4ca9ed,RYR96GG,Ireland,1257.3,82.97,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
563,Boeing,BOEING 737-8AS,4ca9ea,RYR76RT,Ireland,10668,240.1,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
564,Boeing,777F,abfa8e,FDX5225,United States,10363.2,226.36,7500,23700,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
565,Boeing,BOEING 737-8AS,4ca9cc,RYR54FF,Ireland,11277.6,232.31,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
566,Airbus,A320 251NSL,47ba1d,SAS64C,Norway,,0.64,2500,7900,2026-08-17 20:34:12,2026-08-17 20:37:37.750911
567,Airbus,A320 251NSL,47ba0d,SAS96T,Norway,10972.8,223.76,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
568,Boeing,737NG 8K2/W,4841a5,TRA95X,Kingdom of the Netherlands,6972.3,179.74,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
569,Boeing,737NG 8F2/W,4bab45,THY20F,Turkey,9700.26,199.08,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
570,Boeing,737NG 9K2/W,4841a6,KLM1621,Kingdom of the Netherlands,10668,269.02,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
571,Boeing,BOEING 777-236,400685,BAW239,United Kingdom,11582.4,201.08,7500,23700,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
